BPM,KEY,METER,VOCAL GENDER,VOCAL PRESENCE,main_genres,sub_genres,FREE GENRES,simple_moods,moods,character ,MOVEMENT ,VALENCE,AROUSAL,ENERGY LEVEL,EMOTIONAL PROFILE,ENERGY DYNAMICS,EMOTIONAL DYNAMICS,INSTRUMENTS ,INSTRUMENTS PRESENCE,BRAND VALUES ,AUGMENTED KEYWORDS,"AUTO-DESCRIPTION
*(needs to be booked separately)",MUSICAL ERA,"LYRIC TAGS
*(needs to be booked separately)","LYRIC EXPLICITNESS
*(needs to be booked separately)",LYRIC AI TRANSCRIPT,VOICE OVER,"MOST SIGNIFICANT PART
(The most striking part of the song)"
60-280,aMinor,3/4,Male,High,African,Main Genre: Classical,21St Century Classical,Agressive,Adventurous,Bold,Bouncy,-1 to +1,-1 to +1,High,Positive,High,High,Accordion,Throughout,Abstract,Abhorrence,*Full-text description of the song*,Late 40s / Early 50s,Love and Relationship,Yes,*a text-form transcript of the lyrics*,YES,mm:ss
,eMinor,4/4,Female,Medium,Ambient,Baroque Period,432Hz,Calm,Aggressive,Cool,Driving,,,Medium,Negative,Medium,Medium,Acoustic Guitar,Frequently,Accomplishment,Abrasive,,Early 1950s / Mid 1950s,Heartbreak and Loss,No,,NO,
,bMinor,,Instrumental,Low,Arab / Middle Eastern,Classical Period,48G,Chilled,Agitated,Heroic,Groovy,,,Low,Neutral,Low,Low,African Percussion,Partially,Acheronian,Abstract,,Mid 1950s / Late 1950s,Hope and Inspiration,,,Amount of VO in an audio file,
,fsMinor,,,None,Asian,Gilded Age,5Th Wave Emo,Dark,Angry,Ethereal,Flowing,,,Variable,Variable,,,Asian Flute,Absent,Active,Accelerating,,Late 1950s / Early 1960s,Dreams and Aspirations,,,,
,csMinor,,,,Blues,Modern Era,8-Bit,Energetic,Anthemic,Epic,Nonrythmic,,,,,,,Asian Strings,,Adventure,Accomplishment,,Early 1960s / Mid 1960s,Memories and Nostalgia,,,,
,gsMinor,,,,Children / Jingle,Romantic Period,8D,Epic,Anxious,Luxurious,Pulsing,,,,,,,Banjo,,Affectionate,Acheronian,,Mid 1960s / Late 1960s,Nature and Serenity,,,,
,dsMinor,,,,Classical,Contemporary Classic,A Cappella,Happy,Awe Inspiring,Magical,Robotic,,,,,,,Bass,,Aggressive,Achievement,,Late 1960s / Early 1970s,Peace and Harmony,,,,
,bbMinor,,,,Electronic Dance,,A3,Romantic,Barren,Mysterious,Running,,,,,,,Bass Guitar,,Agile,Acid Jazz,,Early 1970s / Mid 1970s,Passion and Desire,,,,
,fMinor,,,,Folk / Country,Main Genre: Electronic Dance,Aarhus Indie,Sad,Bittersweet,Playful,Static,,,,,,,Bells,,Alluring,Acoustic,,Mid 1970s / Late 1970s,Loneliness and Solitude,,,,
,cMinor,,,,Funk / Soul,Abstract / IDM / Leftfield,Aberdeen Indie,Scary,Blue,Powerful,Stomping,,,,,,,Bongo Conga,,Ambitious,Acoustic Folk,,Late 1970s / Early 1980s,Friendship and Camaraderie,,,,
,gMinor,,,,Indian,Breakbeat / Drum & Bass,Abstract,Sexy,Boisterous,Retro,,,,,,,,Brass,,Anarchy,Acoustic Pop,,Early 1980s / Mid 1980s,Freedom and Liberation,,,,
,dMinor,,,,Jazz,Deep House,Abstract Beats,Ethereal,Bouncy / Boingy,Sophisticated,,,,,,,,Celeste,,Ancient,Acoustic Rock,,Mid 1980s / Late 1980s,Happiness and Joy,,,,
,cMajor,,,,Latin,Electro,Abstract Hip Hop,Uplifting,Bright,Sparkling,,,,,,,,Cello,,Angelic,Acting,,Late 1980s / Early 1990s,Sadness and Grief,,,,
,gMajor,,,,Metal,House,Abstract IDM,,Calm,Sparse,,,,,,,,Church Organ,,Arabian,Action,,Early 1990s / Mid 1990s,Inspiration and Creativity,,,,
